Restaurant,Food,Address,,,,,
고봉삼계탕,삼계탕,서울 강남구 봉은사로 524 삼성동 159,,,,,
돝고기506,숙성 삼겹살 #목살,서울 강남구 역삼로17길 53 역삼동 739-13,,,,,
송쉐프,옛날볶음밥 #짬뽕,서울 강남구 도산대로1길 40 신사동 507-11,,,,,
강릉휴게소,초당두부황태해장국 #알감자,강원도 강릉시 성산면 영동고속도로 231 강릉상휴게소 성산면 보광리 103,,,,,
금강휴게소,도리뱅뱅이 정식,충청북도 옥천군 동이면 금강로 596 휴게소 조령리 576,,,,,
안성휴게소,소시지 떡꼬치 구이,경기도 안성시 원곡면 경부고속도로 365 원곡면 반제리 642-6,,,,,
진주집,냉콩국수,서울 영등포구 국제금융로6길 33 여의도동 36-2,,,,,
홍미닭발,통닭발,서울 강남구 강남대로 628 신사동 502-1 신사빌딩 1층,,,,,
문타로,닭꼬치 10종세트,서울 용산구 이태원로 230-1 한남동 683-124,,,,,
굴다리식당,김치찌개 #계란말이,서울 마포구 새창로 8-1 도화동 181-45,,,,,
뉴만두집,만두전골 #만둣굿,서울 강남구 압구정로 338 신사동 661-1,,,,,
동해대구탕,대구탕,서울 영등포구 여의나루로 57 여의도동 25-12 신송센터 빌딩 지하1층,,,,,
성심당,튀김소보로,대전 중구 대종로480번길 15 은행동 145,,,,,
이두부야,서리태콩물,서울특별시 은평구 연서로 257 1층 불광동 314-34,,,,,
종점가든,잣칼국수,경기 가평군 설악면 유명산길 76 가일리 249-3 종점가든,,,,,
역전회관,바싹불고기,서울 마포구 토정로37길 47 염리동 173-21,,,,,
진대감,차돌박이 #차돌삼합,서울 마포구 마포대로12길 54-2 공덕동 249-61,,,,,
영천영화,욱회비빔밥 #한우갈비살,서울 강남구 도산대로90길 3 청담동 50-13 상민빌딩,,,,,
앞마당,바지락칼국수 #부추전,서울 마포구 성지길 30 합정동 375-5,,,,,
서울 만남의 광장,말죽거리소고기국밥,서울특별시 서초구 양재대로12길 73-71 만남의광장 원지동 10-16,,,,,
망향휴게소,호두과자,충청남도 천안시 서북구 성거읍 돌다리길 23-37 망향휴게소 요방리 121,,,,,
서산휴게소,어리굴젓 백반,충청남도 서산시 해미면 서해안고속도로 241 삼송리 119,,,,,
횡성휴게소,횡성한우 떡 더덕 스테이크,강원도 횡성군 안흥면 영동고속도로 154-1 강원도 횡성군 안흥면 소사리 1530-1,,,,,
안동휴게소,이동삼안동간고등어구이정식 #고등어구이,경상북도 안동시 풍산읍 풍산태사로 1903-27 계평리 산140-1 서안동휴게소,,,,,
마로화적,양념 소갈비 #돼지본스테이크,서울 종로구 성균관로16길 5 명륜1가 31-7,,,,,
연타발,특양구이 #한우 대창구이,서울 강남구 도산대로 231 신사동 629-32,,,,,
국민한우 민소,한우모듬세트,서울 영등포구 국제금융로2길 37 여의도동 26 에스트레뉴 지하1층,,,,,
